私は新しいカタカナ辞典を借りました。;わたし は あたらしい かたかな じてん を かりました。;I borrowed a new Katakana dictionary.;hiragana	katakana	translation	applies to	more specifically
赤ちゃんはお腹が空いたときギャーギャー泣きます。;あかちゃん は おなか が すいた とき ぎゃーぎゃー なきます。;The baby cries with a high pitch when they're hungry.;ぎゃーぎゃー	ギャーギャー	high pitched crying	onomatopoeia	human noises
赤ちゃんがギャーギャー泣いている。;あかちゃん が ぎゃーぎゃー ないて いる。;The baby is crying loudly.;ぎゃーぎゃー	ギャーギャー	"""aaaaaaaaaaa!"""	onomatopoeia	human noises
彼女は突然叫んだ：「キャッ！」;かのじょ は とつぜん さけんだ：「きゃっ！」;She suddenly exclaimed: "Eek!";きゃっ	キャッ	"""eek!"""	onomatopoeia	human noises
トムはねずみを見て、ギャッと叫びました。;とむ は ねずみ を みて、ぎゃっ と さけびました。;Tom saw a rat and screamed, "Eek!”;ぎゃっ	ギャッ	"""eek!"""	onomatopoeia	human noises
子供たちは公園でキャッキャッと遊んでいました。;こどもたちは こうえんで きゃっきゃっと あそんでいました。;The children were playing merrily in the park.;きゃっきゃっ	キャッキャッ	merriment	onomatopoeia	human noises
猿たちは森の中でキャッキャッと騒いでいる。;さる たち は もり の なか で きゃっきゃっ と さわいで いる。;The monkeys are gibbering in the forest.;きゃっきゃっ	キャッキャッ	gibbering	onomatopoeia	monkey
彼はその信じられないニュースを聞いて、ギャフンとなった。;かれ は その しんじられない にゅーす を きいて、ぎゃふん と なった。;He was rendered speechless upon hearing the unbelievable news.;ぎゃふん	ギャフン	"rendered speechless, dumbfounded"	mental state
犬がうれしくてキャンキャンと吠えている。;いぬ が うれしく て きゃんきゃん と ほえている。;The dog is yelping with joy.;きゃんきゃん	キャンキャン	yelp	onomatopoeia	dog
お腹がきゅーっと痛む。;お なか が きゅー っと いたむ。;My stomach feels a squeezing, clamping pain.;きゅー	キュー	"a squeezing, clamping pain"	feelings	pain
彼はスポンジを軽くきゅーきゅーと絞った。;かれ は すぽんじ を かるく きゅーきゅー と しぼった。;He lightly squeezed the sponge.;きゅーきゅー	キューキュー	squeeze lightly	action
ドアがきゅーきゅーと音を立てている。;どあ が きゅーきゅー と おと を たてている。;The door is making a creaking sound.;きゅーきゅー	キューキュー	creaking	onomatopoeia
学生のころ、毎月のきゅう料が足りなくて、きゅうきゅうと家賃をどうにか払っていた。;がくせい の ころ、まいつき の きゅうりょう が たりなくて、きゅうきゅう と やちん を どうにか はらっていた。;As a student, I was always short on money and struggled to pay the rent each month.;きゅうきゅう	キュウキュウ	to be short on money	money issues
彼のスーツケースにぎゅーぎゅーと服を詰めた。;かれ の すーつけーす に ぎゅーぎゅー と ふく を つめた。;He crammed clothes into his suitcase so tightly.;ぎゅーぎゅー	ギューギュー	"squash, pack/stuff/cram something "	action
電車はぎゅーぎゅーで座る場所がない。;でんしゃ は ぎゅーぎゅー で すわる ばしょ が ない。;The train is jam-packed, and there are no available seats.;ぎゅーぎゅー	ギューギュー	jam-packed	available space
ドアがぎゅーぎゅー音をたてている。;どあ が ぎゅーぎゅー おと を たてている。;The door is creaking noisily.;ぎゅーぎゅー	ギューギュー	creaking	onomatopoeia
お腹がきゅーっと痛い。;おなか が きゅー っ と いたい。;I have a squeezing pain in my stomach.;きゅーっ	キューッ	"a squeezing, clamping pain"	feelings	pain
彼女の気持ちに気づいたとたん、心がきゅーんとなった。;かのじょ の きもち に きづいた とたん、こころ が きゅーん と なった。;The moment I realized how she felt, my heart was struck with a strong emotion.;きゅーん	キューン	a strong emotion set off by a touching scene or pathetic sight	emotions
彼の手をきゅっと握った。;かれ の て を きゅっと にぎった。;He pinched his hand tightly.;きゅっ	キュッ	pinch	action
彼は子犬をきゅっと抱きしめた。;かれ は こいぬ を きゅっと だきしめた。;He squeezed the puppy tightly.;きゅっ	キュッ	squeeze strongly	action
ゴムバンドをきゅっと引っ張った。;ごむ ばんど を きゅっ と ひっばった。;I tightened the rubber band.;きゅっ	キュッ	tighten	action
彼は映画のクライマックスで涙が出そうになると、きゅっとこらえた。;かれ は えいが の くらいまっくす で なみだ が でそう に なる と、きゅっと こらえた。;At the climax of the movie, he felt tears welling up and choked them back.;きゅっ	キュッ	"getting choked up, a poignant feeling as if something is tightening"	emotions
彼女は驚いて急に口をきゅっと結んだ。;かのじょ は おどろいて きゅう に くち を きゅっと むすんだ。;She was surprised and suddenly pursed her lips tightly.;きゅっ	キュッ	pressed/pursed lips	facial expression
彼はジュースをきゅっと飲んだ。;かれ は ジュース を きゅっと のんだ。;He hastily drank down the juice in one gulp.;きゅっ	キュッ	hastily drink down in one gulp	performing an action	drinking
彼は恥ずかしそうに肩をきゅっとすくめた。;かれ は はずかしそう に かた を きゅっと すくめた。;He shyly shrugged his shoulders.;きゅっ	キュッ	shrugging	performing an action
彼女は人混みに押されて、ぎゅっと鞄を抱きしめた。;かのじょ は ひとごみ に おされて、ぎゅっ と かばん を だきしめた。;She was pushed by the crowd and tightly hugged her bag.;ぎゅっ	ギュッ	"forcefully push, press, squeeze"	action
彼女は私をぎゅっと抱きしめた。;かのじょ は わたし を ぎゅっと だきしめた。;She gave me a big hug.;ぎゅっ	ギュッ	"giving a big squeeze, giving a big hug"	performing an action
彼はその知らせにギョッとした。;かれ は その しらせ に ぎょっと した。;He was shocked by the news.;ぎょっ	ギョッ	"shocked, aghast"	mental state	scared
彼は面接の待合室で、きょときょとと周りを見回していた。;かれ は めんせつ の まちあいしつ で、 きょときょと と まわり を みまわして いた。;He was looking around nervously in the waiting room for the interview.;きょときょと	キョトキョト	looking around nervously	eye expressions
